,Unnamed: 0,total_score,InterfaceRes,Interface_hbond_count,SASA,SASA_hydrophobic,SASA_polar,Sc,contact_surf,ddg,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_rep_xover4,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,pro_close,rama_prepro,ref,sugar_SASA,sugar_SASA_hydrophobic,sugar_SASA_polar,sugar_bb,yhh_planarity,Ligand,Pose
525,525,-418.573,7.0,6.0,494.295,143.684,350.611,0.627,86.624,-14.189,0.0,-792.898,150.697,-240.367,1.385,17.04,31.684,80.796,482.557,-36.747,-52.042,-28.083,-26.228,-15.303,11.774,-24.539,0.302,-8.553,26.759,415.589,155.479,261.174,2.979,0.216,S6I2,4
526,526,-408.332,3.0,5.0,422.895,113.151,309.743,0.726,80.152,-12.176,0.0,-790.851,153.24,-240.44,1.388,17.022,31.699,86.771,483.172,-32.911,-51.898,-28.842,-26.57,-17.424,11.619,-25.021,0.279,-7.993,26.759,428.771,163.33,266.506,1.452,0.216,S6I2,4
527,527,-415.481,8.0,5.0,539.891,141.433,398.457,0.664,107.571,-14.855,0.0,-791.892,152.475,-246.503,1.375,16.295,31.19,83.159,485.161,-32.504,-50.741,-31.319,-26.282,-13.453,12.258,-25.85,0.287,-9.039,26.759,384.635,161.719,224.437,2.852,0.29,S6I2,4
528,528,-410.756,3.0,5.0,350.626,67.569,283.058,0.755,67.403,-9.524,0.0,-786.293,149.907,-235.674,1.38,16.802,31.105,81.835,473.531,-32.224,-51.37,-23.789,-26.212,-16.944,11.925,-25.722,0.311,-8.797,26.759,485.509,173.807,313.222,2.344,0.37,S6I2,4
529,529,-405.88,3.0,4.0,437.593,119.381,318.212,0.661,73.839,-11.242,0.0,-789.386,152.479,-244.521,1.385,17.114,31.594,89.441,479.815,-34.003,-50.746,-26.33,-26.302,-16.057,12.436,-24.607,0.291,-7.211,26.759,420.6,170.039,251.625,1.426,0.544,S6I2,4
530,530,-415.791,8.0,4.0,541.266,171.58,369.687,0.701,114.406,-15.013,0.0,-796.845,151.301,-246.96,1.38,16.334,31.549,81.566,492.119,-36.446,-52.379,-24.72,-26.632,-14.213,11.759,-25.151,0.224,-8.513,26.759,349.003,149.234,201.29,2.72,0.356,S6I2,4
531,531,-415.035,6.0,5.0,416.058,118.83,297.228,0.612,76.684,-12.618,0.0,-793.138,157.349,-247.382,1.395,17.09,32.467,82.851,480.937,-36.92,-51.469,-27.329,-27.063,-13.131,14.032,-25.034,0.326,-9.92,26.759,456.684,167.789,290.415,2.86,0.286,S6I2,4
532,532,-413.474,9.0,4.0,563.272,164.456,398.816,0.721,117.002,-15.767,0.0,-794.5,152.055,-251.29,1.367,15.941,30.666,82.399,489.839,-34.13,-49.178,-25.95,-26.116,-14.827,13.136,-24.502,0.253,-8.577,26.759,372.156,156.259,217.417,2.759,0.422,S6I2,4
533,533,-415.839,9.0,4.0,575.585,180.038,395.547,0.672,115.598,-14.213,0.0,-799.969,153.733,-247.749,1.374,16.057,31.194,83.171,492.515,-33.783,-50.895,-28.231,-26.437,-14.789,11.542,-25.198,0.297,-8.279,26.759,360.836,139.734,222.622,2.728,0.12,S6I2,4
534,534,-415.14,3.0,4.0,355.773,93.862,261.911,0.613,59.259,-11.766,0.0,-784.573,152.788,-241.976,1.38,16.385,31.134,80.19,474.268,-34.049,-51.486,-25.939,-26.412,-15.68,11.678,-25.345,0.321,-7.829,26.759,513.118,184.296,330.342,2.861,0.386,S6I2,5
535,535,-414.595,4.0,4.0,427.369,109.937,317.433,0.619,73.232,-11.445,0.0,-790.43,153.709,-241.573,1.404,17.438,31.763,79.512,480.462,-36.375,-51.24,-25.989,-26.162,-15.496,12.928,-25.334,0.31,-8.276,26.759,438.136,181.692,257.508,1.664,0.331,S6I2,5
536,536,-407.832,4.0,3.0,354.321,88.092,266.23,0.723,62.729,-10.46,0.0,-784.916,156.613,-243.546,1.382,16.762,30.52,85.586,472.795,-32.654,-50.398,-28.538,-26.583,-13.914,13.01,-24.776,0.285,-7.687,26.759,508.563,171.774,336.788,1.116,0.351,S6I2,5
537,537,-415.336,4.0,3.0,419.222,106.433,312.789,0.672,75.094,-11.6,0.0,-786.875,151.723,-240.176,1.372,16.107,31.85,79.843,479.425,-34.931,-51.681,-24.305,-26.93,-17.296,11.909,-25.18,0.303,-8.683,26.759,448.268,155.097,293.171,1.127,0.303,S6I2,5
538,538,-410.514,2.0,5.0,308.91,66.772,242.138,0.808,59.699,-9.892,0.0,-785.77,154.289,-239.072,1.389,17.32,31.004,85.075,472.667,-34.232,-50.423,-27.494,-25.566,-14.127,12.614,-26.335,0.275,-10.531,26.759,543.69,189.775,355.435,1.36,0.281,S6I2,5
539,539,-405.209,5.0,2.0,423.543,142.133,281.41,0.633,75.509,-8.551,0.0,-794.354,156.302,-238.615,1.4,17.449,32.081,88.233,481.678,-34.67,-50.794,-26.313,-26.599,-17.547,12.846,-25.123,0.317,-9.934,26.759,446.769,173.787,274.35,1.475,0.2,S6I2,5
540,540,-411.788,6.0,1.0,478.855,151.705,327.15,0.524,67.758,-9.442,0.0,-786.7,150.567,-241.66,1.379,16.78,31.141,83.038,476.151,-33.156,-50.779,-26.094,-26.693,-15.286,12.159,-25.134,0.299,-7.751,26.759,434.622,153.293,282.698,2.964,0.226,S6I2,5
541,541,-410.967,3.0,3.0,362.045,90.249,271.796,0.701,69.313,-7.454,0.0,-790.491,151.973,-238.385,1.37,16.548,30.68,82.416,479.204,-32.635,-51.181,-26.671,-26.512,-15.878,12.183,-24.746,0.342,-8.105,26.759,490.122,180.097,311.09,1.989,0.172,S6I2,5
542,542,-415.12,4.0,3.0,418.171,121.345,296.826,0.59,71.56,-9.879,0.0,-794.853,153.485,-239.896,1.393,17.355,32.027,82.606,482.745,-35.995,-50.805,-27.325,-26.701,-15.794,12.172,-24.534,0.314,-9.374,26.759,463.634,175.832,289.323,1.093,0.21,S6I2,5
543,543,-410.681,8.0,5.0,545.293,171.642,373.651,0.56,89.89,-11.499,0.0,-791.07,152.265,-244.12,1.396,16.869,29.862,86.261,480.8,-30.955,-49.865,-31.013,-26.668,-14.094,12.616,-25.366,0.295,-7.769,26.759,416.702,159.856,258.367,2.785,0.331,S6I2,5
544,544,-408.215,6.0,1.0,418.533,167.138,251.394,0.709,78.031,-5.751,0.0,-791.45,153.186,-237.769,1.386,16.954,31.902,82.09,479.968,-34.5,-52.749,-24.944,-26.607,-14.919,12.038,-24.992,0.301,-7.785,26.759,478.238,174.356,305.403,2.739,0.177,S6I2,6
545,545,-409.898,7.0,0.0,418.963,168.136,251.739,0.713,84.531,-5.531,0.0,-795.011,154.037,-241.305,1.37,16.059,31.58,82.318,483.207,-32.684,-51.915,-25.618,-26.828,-14.992,12.284,-24.753,0.323,-7.694,26.759,474.378,171.34,303.037,2.786,0.178,S6I2,6
546,546,-409.379,7.0,0.0,409.833,160.89,249.855,0.726,81.448,-5.409,0.0,-792.665,155.292,-241.365,1.377,16.255,31.518,82.234,481.432,-32.673,-52.603,-25.759,-26.911,-15.418,12.825,-24.656,0.309,-8.3,26.759,465.555,168.239,297.316,2.815,0.154,S6I2,6
547,547,-414.204,8.0,2.0,438.433,146.398,293.1,0.627,88.334,-10.204,0.0,-791.986,155.946,-243.516,1.379,16.5,31.585,81.298,482.657,-35.067,-52.844,-23.997,-26.602,-15.631,11.904,-25.138,0.335,-8.945,26.759,459.665,156.223,303.442,1.117,0.043,S6I2,6
548,548,-411.38,7.0,1.0,405.152,127.483,278.277,0.621,79.257,-6.713,0.0,-787.948,149.387,-240.393,1.368,16.838,30.579,81.939,479.672,-31.68,-51.086,-27.248,-26.362,-14.333,12.299,-25.117,0.324,-8.206,26.759,467.679,168.806,299.178,1.562,0.266,S6I2,6
549,549,-411.667,7.0,1.0,397.453,157.091,241.731,0.718,74.731,-7.498,0.0,-788.647,152.324,-240.859,1.368,16.072,31.497,81.228,477.755,-33.4,-52.011,-24.935,-26.106,-14.88,12.68,-25.218,0.357,-8.686,26.759,473.419,173.958,299.46,2.657,0.379,S6I2,6
550,550,-414.918,7.0,2.0,425.206,150.592,275.982,0.714,95.201,-11.242,0.0,-788.823,148.446,-244.892,1.384,16.348,30.714,85.099,480.575,-31.912,-50.452,-25.619,-26.015,-14.611,11.425,-25.827,0.352,-9.921,26.759,445.368,145.743,299.624,1.614,0.438,S6I2,6
551,551,-416.885,8.0,2.0,437.322,147.339,291.047,0.621,88.061,-10.379,0.0,-790.908,150.634,-245.757,1.379,16.409,31.296,80.986,481.931,-32.194,-51.779,-24.699,-25.458,-15.624,11.626,-24.848,0.332,-8.378,26.759,457.999,161.322,296.829,1.321,0.087,S6I2,6
552,552,-414.715,7.0,2.0,432.667,131.743,300.923,0.611,87.549,-10.092,0.0,-795.497,156.172,-249.686,1.374,16.276,31.137,82.146,486.034,-33.474,-52.081,-26.171,-26.254,-14.235,13.954,-24.949,0.344,-7.938,26.759,454.428,156.735,297.845,1.166,0.207,S6I2,6
553,553,-418.162,7.0,2.0,438.95,144.471,295.542,0.614,87.084,-10.168,0.0,-793.403,153.826,-243.866,1.375,16.426,31.256,81.216,483.202,-35.019,-52.81,-26.133,-26.179,-15.387,12.591,-24.526,0.321,-9.23,26.759,453.07,155.377,297.845,1.164,0.254,S6I2,6
