,total_score,InterfaceRes,Interface_hbond_count,SASA,SASA_hydrophobic,SASA_polar,Sc,contact_surf,ddg,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_rep_xover4,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,pro_close,rama_prepro,ref,sugar_SASA,sugar_SASA_hydrophobic,sugar_SASA_polar,sugar_bb,yhh_planarity,description,Ligand,Pose,Run
587,-407.522,4.0,2.0,475.781,211.426,264.355,0.427,68.04,-7.285,0.0,-790.094,154.812,-232.465,1.441,17.304,34.662,80.42,473.749,-33.619,-50.867,-24.344,-26.689,-16.883,12.513,-24.565,0.305,-10.39,26.759,391.708,113.308,279.464,0.195,0.233,rel_I2S3_out_4_2_complex_0004,I2S3,2,0004
588,-408.447,4.0,2.0,469.835,209.377,260.458,0.422,68.071,-7.367,0.0,-789.201,153.498,-235.796,1.448,17.374,34.887,80.556,476.496,-34.999,-51.576,-25.388,-26.399,-15.689,12.353,-24.869,0.327,-8.673,26.759,396.764,112.283,285.545,0.196,0.25,rel_I2S3_out_4_2_complex_0005,I2S3,2,0005
589,-409.316,4.0,2.0,476.522,211.939,264.583,0.443,68.236,-7.232,0.0,-791.959,156.046,-235.217,1.434,17.143,34.31,82.0,477.553,-34.223,-50.667,-26.81,-26.669,-16.786,12.332,-24.518,0.32,-10.761,26.759,389.467,112.283,278.247,0.196,0.199,rel_I2S3_out_4_2_complex_0006,I2S3,2,0006
590,-411.164,4.0,2.0,463.408,196.382,267.026,0.404,67.138,-7.494,0.0,-788.174,152.909,-239.111,1.441,17.264,35.01,78.191,479.397,-34.941,-51.35,-26.877,-26.483,-14.987,13.525,-25.499,0.33,-9.035,26.759,404.923,123.59,282.398,0.199,0.268,rel_I2S3_out_4_2_complex_0007,I2S3,2,0007
591,-407.038,2.0,2.0,460.383,196.152,264.231,0.344,64.538,-7.674,0.0,-784.267,151.876,-238.322,1.441,17.248,34.071,82.076,473.918,-33.359,-50.289,-26.274,-26.759,-14.582,11.609,-25.241,0.293,-7.699,26.759,419.68,120.412,300.332,0.189,0.272,rel_I2S3_out_4_2_complex_0008,I2S3,2,0008
592,-407.379,3.0,0.0,445.418,193.72,251.698,0.399,65.018,-6.499,0.0,-785.478,152.483,-233.718,1.423,16.676,34.623,79.095,473.145,-32.874,-51.621,-23.87,-26.027,-16.805,11.528,-24.879,0.287,-8.502,26.759,414.161,123.079,292.451,0.204,0.173,rel_I2S3_out_4_2_complex_0009,I2S3,2,0009
593,-407.899,2.0,2.0,453.305,194.614,258.691,0.339,63.935,-7.665,0.0,-784.189,151.966,-238.282,1.437,17.243,34.144,81.468,473.073,-33.811,-50.5,-26.009,-26.64,-14.469,12.692,-25.331,0.294,-8.219,26.759,417.876,116.204,302.889,0.198,0.277,rel_I2S3_out_4_2_complex_0010,I2S3,2,0010
594,-413.121,6.0,4.0,528.731,181.5,348.448,0.601,99.091,-12.072,0.0,-790.645,151.821,-250.683,1.42,16.531,33.622,82.58,488.529,-32.573,-50.237,-29.354,-26.618,-14.973,12.653,-24.898,0.323,-7.967,26.759,345.077,128.825,216.253,0.255,0.335,rel_I2S3_out_4_3_complex_0001,I2S3,3,0001
595,-410.696,6.0,4.0,531.263,178.86,353.62,0.611,97.902,-12.5,0.0,-800.089,155.61,-251.647,1.443,17.061,34.397,87.875,490.497,-34.105,-49.357,-27.75,-26.745,-15.608,13.662,-24.75,0.347,-9.005,26.759,344.584,127.798,216.786,0.238,0.471,rel_I2S3_out_4_3_complex_0002,I2S3,3,0002
596,-390.688,2.0,2.0,314.929,76.07,238.859,0.46,56.861,-8.779,0.0,-790.054,152.283,-238.989,1.456,17.921,34.59,87.982,480.43,-31.151,-49.25,-26.613,-25.433,-16.206,13.86,-24.78,0.278,-6.944,26.759,446.61,163.193,283.417,2.656,0.518,rel_I2S3_out_4_3_complex_0003,I2S3,3,0003
597,-416.398,8.0,4.0,555.892,178.363,378.746,0.65,110.417,-14.949,0.0,-789.199,152.998,-249.734,1.423,16.112,34.537,82.206,484.971,-34.413,-53.908,-26.635,-26.177,-16.232,12.18,-24.746,0.345,-7.807,26.759,328.003,136.201,191.803,0.663,0.26,rel_I2S3_out_4_3_complex_0004,I2S3,3,0004
598,-412.661,8.0,2.0,525.898,182.115,344.999,0.649,94.835,-11.524,0.0,-791.131,156.201,-244.606,1.446,16.968,34.591,83.383,477.82,-30.74,-53.127,-25.6,-26.161,-16.826,10.89,-24.719,0.312,-8.768,26.759,346.687,133.147,213.997,0.277,0.37,rel_I2S3_out_4_3_complex_0005,I2S3,3,0005
599,-414.731,7.0,4.0,527.979,173.528,355.211,0.61,95.524,-12.167,0.0,-796.683,152.546,-246.92,1.439,16.793,34.492,81.756,489.565,-34.924,-51.619,-24.985,-26.07,-16.835,11.902,-24.494,0.334,-8.503,26.759,350.74,130.637,220.559,0.234,0.482,rel_I2S3_out_4_3_complex_0006,I2S3,3,0006
600,-413.452,8.0,4.0,521.314,175.119,346.651,0.61,93.907,-12.133,0.0,-797.297,155.026,-248.551,1.433,16.798,34.434,83.479,491.536,-35.928,-51.082,-26.688,-26.597,-17.304,13.257,-24.659,0.321,-8.771,26.759,345.482,126.204,220.038,0.202,0.179,rel_I2S3_out_4_3_complex_0007,I2S3,3,0007
601,-415.674,7.0,4.0,526.832,176.016,351.424,0.618,96.368,-12.5,0.0,-799.157,155.934,-247.824,1.44,16.782,34.813,82.693,490.49,-35.915,-51.363,-27.253,-26.646,-16.455,12.697,-24.267,0.328,-9.134,26.759,347.082,133.1,214.59,0.218,0.186,rel_I2S3_out_4_3_complex_0008,I2S3,3,0008
602,-413.696,7.0,4.0,545.433,177.286,369.059,0.61,99.238,-13.369,0.0,-795.067,151.112,-246.469,1.418,16.143,34.417,82.2,488.947,-33.001,-50.575,-27.888,-26.645,-15.677,12.858,-25.256,0.313,-7.71,26.759,340.656,135.232,205.728,0.261,0.163,rel_I2S3_out_4_3_complex_0009,I2S3,3,0009
603,-407.578,6.0,4.0,525.629,179.708,347.137,0.596,98.587,-12.171,0.0,-795.984,153.596,-250.399,1.445,17.233,34.159,85.62,487.5,-31.618,-51.189,-25.227,-26.398,-15.178,13.354,-24.837,0.327,-7.44,26.759,345.875,127.798,218.077,0.245,0.454,rel_I2S3_out_4_3_complex_0010,I2S3,3,0010
604,-409.43,3.0,1.0,409.417,186.531,224.254,0.411,68.041,-8.909,0.0,-785.722,152.062,-244.125,1.437,16.768,34.342,84.092,473.664,-31.087,-50.516,-26.846,-25.617,-13.631,11.861,-25.192,0.269,-8.712,26.759,436.749,135.293,301.456,0.301,0.463,rel_I2S3_out_4_4_complex_0001,I2S3,4,0001
